"主题","回复用户","回复内容"
"17战队是绝地颜值最高，身材最好的战队吧？","失眠暴力熊","错了FGA才是最帅的，阿聪小文2大帅哥。发自虎扑iPhone客户端"
"问一下，有去德国柏林看PGI的童鞋吗","婻風哟","5月份有个孤少粉就在问了，当时很多人说4阿妹不一定能得冠军，然后她说粉孤少很久了，只要有一丝希望她都要去买，不然万一夺冠了，她没去她会后悔一辈子。然后阿妹夺冠了，想想真的奇迹。发自手机虎扑 m.hupu.com"
"唯一k神也进211车队了","张小共","一局里面有XQ、xiaodu    Ehome、970  我是在看PCPI吗233333"
"唯一k神也进211车队了","T10特拉风","我知道211怎么这么厉害了，都是ob学来的发自虎扑iPhone客户端"
"唯一k神也进211车队了","autumn1412","211线下猛如虎线上菜如狗发自虎扑Android客户端"
"唯一k神也进211车队了","野餐乐趣多","小毒刚才按错键从房子上掉下来了，第一个凉凉，后来好像970杀了211，之后小毒他们车队几个人都被Lionkk杀了😂😂😂发自虎扑iPhone客户端"
"唯一k神也进211车队了","POMELOVE","杀人王凶起来队友都杀"
"唯一k神也进211车队了","RiiiiiinGs","梦之队，还差一人！211+K神+堡垒 已在列！就等17shou了！！！！！！！！！！！！！！！！！！！！！"
"唯一k神也进211车队了","是冰雪啊","35杀并且诛仙...满编吃鸡，真·猛男梦之队...发自虎扑iPhone客户端"
"唯一k神也进211车队了","比斯开湾的幽灵","XQ小毒追杀211发自虎扑iPhone客户端"
"唯一k神也进211车队了","marytao","刚刚机场偶遇XQ小毒 莉莉飞天大草反杀发自虎扑iPhone客户端"
"唯一k神也进211车队了","ALLLLex","211又第一个死  继学习堡垒第一视角后 又将学习k神第一视角发自虎扑iPhone客户端"
"唯一k神也进211车队了","Xyerso","有意思了遇到xq了发自虎扑iPhone客户端"
"唯一k神也进211车队了","JR丶boom","引用64楼 @怀表停了 发表的:211，堡垒，lionkk打兄弟吃鸡，17shou得知后选择了一条最艰难的路。。又想黑我阿杜？发自虎扑Android客户端"
"唯一k神也进211车队了","拉风的昵称嘿嘿嘿嘿嘿","反向堵桥！集体退役！发自虎扑iPhone客户端"
"唯一k神也进211车队了","marytao","引用16楼 @野餐乐趣多 发表的:小毒刚才按错键从房子上掉下来了，第一个凉凉，后来好像970杀了211，之后小毒他们车队几个人都被Lionkk杀了😂😂😂小狮子把970杀了 然后970去yy骂他 哈哈哈发自虎扑iPhone客户端"
"如果你们喜欢的选手，活在剑侠世界之中。","一个中二的少年","平凡之剑：马牛逼    他以前本不是练剑的，只是一个炒菜的厨子，只是听说练剑能够养家糊口之后，便开始练剑了。  他没有师傅，也并没有人教他，于是他便地摊上买了下一本《练剑基础》之后，便开始了练剑之旅。  朝起寒暑，晚练三伏。  没有人知道他练剑吃了多少苦。  当别的剑客在门派里毫无压力练着高级剑诀的时候，他却在为了一本初级剑法和人拼命。  还好，对方并没有他命硬。  他本只是打算当一个普通的剑客，替人押押镖，赚点银子养家糊口。  但他练着练着，却已经达到了有人毕生都不可能达到的境界的时候。  他方才明白，原来，他也是练剑的天才。  发自虎扑Android客户端"
"如果你们喜欢的选手，活在剑侠世界之中。","一个中二的少年","命运之剑：孤存    当一颗彗星划过星空，一个婴儿出生了。  他是一出生，便受人瞩目的天才。  “剑心，十品。”当检验剑心的老者喊出这句话的时候，所有人都惊呆了。  他被接送到了帝国最好的剑客学院，出生平凡的家庭，也因为他的出生，成为了帝国的贵族。  他从小便是抱着十大神剑之一纯阳神剑长大，年龄不到18岁，便已经踏过了九层剑塔，成为了史上最年轻的剑神。  他心无杂念，不近女色，心中只想着，有朝一日，能够用手中的剑，破开这天的笼罩。  如果说他非要有什么缺点，那便是贪财。  帝国的宝藏，早已被他挖了遍，就连帝国守卫森严的宝库，也曾被他潇洒的三进三出。  几万年后，当年繁华的帝国，已然化作一片废墟，他屹立在废墟之上，背着一把剑，手提一壶酒，望着早已改变的沧海桑田，孤独的存在着。  几万年，他依然还是没能破开这看似簙弱的天空。发自虎扑Android客户端"
"如果你们喜欢的选手，活在剑侠世界之中。","玮德噶1197","引用5楼 @一个中二的少年 发表的:命运之剑：孤存    当一颗彗星划过星空，一个婴儿出生了。  他是一出生，便受人瞩目的天才。  “剑心，十品。”当检验剑心的老者喊出这句话的时候，所有人都惊呆了。  他被接送到了帝国最好的剑客学院，出生平凡的家庭，也因为他的出生，成为了帝国的贵族。  他从小便是抱着十大神剑之一纯阳神剑长大，年龄不到18岁，便已经踏过了九层剑塔，成为了史上最年轻的剑神。  他心无杂念，不近女色，心中只想着，有朝一日，能够用手中的剑，破开这天的笼罩。  如果说他非要有什么缺点，那便是贪财。  帝国的宝藏，早已被他挖了遍，就连帝国守卫森严的宝库，也曾被他潇洒的三进三出。  几万年后，当年繁华的帝国，已然化作一片废墟，他屹立在废墟之上，背着一把剑，手提一壶酒，望着早已改变的沧海桑田，孤独的存在着。  几万年，他依然还是没能破开这看似簙弱的天空。孤少女粉听了会伤心。孤少三连:没有，不爱，没想过。记者:你有什么要对你粉丝说的？孤少:没有。下次，记者:你爱你的女粉吗？孤少:不爱。最近，记者:能说说你的理想型是什么样的？孤少:没想过。发自虎扑iPhone客户端"
"如果你们喜欢的选手，活在剑侠世界之中。","一个中二的少年","重剑无锋：a+    艾加已经忘了是第几次做这个梦了，睁眼望着屋顶的天花板。  在梦中，他化身为少年，执剑翩翩起舞，惊起桃林片片桃花。  “你又怎么了。”睡在身旁的第十三房太太点燃油灯问道。  “我又做那个梦了。”艾加木纳道。  “睡觉吧，别多想了，你都三十多了，我们的孩子都能到处跑了，你要是还心有执念的话，我明天把我们的儿子送到剑堂里去学剑。”十三房太太轻轻拍了拍艾加的背，然后说道。  “嗯。”艾加只能无奈的点点头，明天一大早，他还得去和刘员外商量地契的事情。  “刘员外，你觉得我现在还能练剑吗？”正在商量着地契的转让，艾加突然问刘员外道。  刘员外看着艾加渴望的眼神，再看着桌上的地契，笑道：“自然是可以，练剑嘛，什么时候都不晚。”  “嗯，我也觉得。”艾加肯定的点点头。  于是艾加卖了所有的房产，拜师剑门之下。  年龄大剑门不要？没关系，能用钱打通的关系，都不叫事。  很多人都说艾加疯了，放着家里的十多门太太和好日子不过，非要去练什么剑。  但只有艾加知道，他不是疯了，他只是为了兑现一个承诺。  在桃花下。  少年对少女说道：“等我长大了，成为了剑神，能保护你了，就娶你好不好。”  “好。”发自虎扑Android客户端"
"4阿妹国际赛场的精彩表现","Lyiaung","引用17楼 @伱微笑時好美丶 发表的:别的不说，几兄弟出国没丢过人。好好训练，德国加油！胸前的五星红旗🇨🇳，是荣耀更是责任！我感觉这张图更适合粉丝和4am 总能替粉丝打喷子脸[ 此帖被Lyiaung在2018-06-06 08:51修改 ]发自虎扑iPhone客户端"
"4阿妹国际赛场的精彩表现","机智的金馆长","sli 阿鲁卡1穿3http://www.bilibili.com/video/av20450010?share_medium=android&share_source=copy_link&bbid=16FE085D-F387-41E6-89EE-CD7A68EBB959101586infoc&ts=1528220470360sli 0换4avanga（孤存帅气换狙爆头）http://www.bilibili.com/video/av20314158?share_medium=android&share_source=copy_link&bbid=16FE085D-F387-41E6-89EE-CD7A68EBB959101586infoc&ts=1528220684660sli 团灭顶压液体 http://www.bilibili.com/video/av20332345?share_medium=android&share_source=copy_link&bbid=16FE085D-F387-41E6-89EE-CD7A68EBB959101586infoc&ts=1528220757123澳洲邀请赛 韦神solo吃鸡http://www.bilibili.com/video/av22559635?share_medium=android&share_source=copy_link&bbid=16FE085D-F387-41E6-89EE-CD7A68EBB959101586infoc&ts=1528221096475澳洲邀请赛 堵桥反打团灭tmhttp://www.bilibili.com/video/av23477714?share_medium=android&share_source=copy_link&bbid=16FE085D-F387-41E6-89EE-CD7A68EBB959101586infoc&ts=1528221302014发自虎扑Android客户端"
"4阿妹国际赛场的精彩表现","你要干啥呢","这个挺不错的，加上韦神单排一把第一一把第二就更好了发自虎扑iPhone客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","亦念的光泽","引用19楼 @亦念的光泽 发表的:我感觉老干爹是颜值最高的战队。还有这个紫阳，好像是cdec（老干爹二队）的发自虎扑Android客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","mango绵绵冰","我FGA不服，A姓男子、骚文不给你整的明明白白的。发自虎扑iPhone客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","裴秀智圈外小男友","引用3楼 @我是波尔津吉斯 发表的:我4阿妹颜值一队表示不服论颜值 孤存是不应该来pcpi的发自虎扑iPhone客户端"
"17战队是绝地颜值最高，身材最好的战队吧？","UcanUup","XQ整体感觉很不错论颜值，xiaorong那样的才算颜值吧17平均水平还行，不过都太瘦了。撑不起衣服来。"
"17战队是绝地颜值最高，身材最好的战队吧？","可爱不是长久之计我是","引用3楼 @我是波尔津吉斯 发表的:我4阿妹颜值一队表示不服17粉觉得永远好好看！！！！！4am颜值一队没跑了。肯尼也挺帅！！发自虎扑iPhone客户端"
"问一下，有去德国柏林看PGI的童鞋吗","yuyurain","去德国记得买锅。zzz发自虎扑iPhone客户端"
"问一下，有去德国柏林看PGI的童鞋吗","Remixnoob","暑假是要去一次德国的，可能会去，以后打算去亚琛进修的，德语的话正常交流没什么问题，在安联看球的时候和德国老哥沟通还是无障碍的，如果去的话肯定带上三级头黄狗海报。发自虎扑Android客户端"
"细数一下因为年龄或者其他因素没能参加这次pcpi的实力选手","pangqifa","V5_Littlelee发自虎扑iPhone客户端"
"[流言板]Super也好君更新微博：正式辞去IFTY分析师的工作","浩浩杨Yanghol","分手应该体面 谁都不要说抱歉发自虎扑iPhone客户端"
"[流言板]Super也好君更新微博：正式辞去IFTY分析师的工作","丿卡卡卡卡",""
"[流言板]Super也好君更新微博：正式辞去IFTY分析师的工作","百里长青青","重点  鸭子"
"[流言板]Super也好君更新微博：正式辞去IFTY分析师的工作","伱微笑時好美丶","谢谢也好君，ifty因为你的到来增色不少！发自虎扑iPhone客户端"
"[流言板]Super也好君更新微博：正式辞去IFTY分析师的工作","lantern_m","还是有点难受的聚散终有时希望iFTY能招到合适的教练和分析师吧发自虎扑Android客户端"
"[流言板]Super也好君更新微博：正式辞去IFTY分析师的工作","晴天有雨brian","谢谢 也好君 这一个月的付出."
"[流言板]Super也好君更新微博：正式辞去IFTY分析师的工作","猫猫喵喵呜","呜呜呜呜呜"
"[流言板]QSL全民明星锦标赛将于6月9日恢复比赛，4AM、iFTY和17等战队参赛","挠头侠","回头再看，B组才是真正的死亡之组啊，俩冠军队。发自虎扑Android客户端"
"[流言板]QSL全民明星锦标赛将于6月9日恢复比赛，4AM、iFTY和17等战队参赛","Altoria2","引用1楼 @挠头侠 发表的:回头再看，B组才是真正的死亡之组啊，俩冠军队。还有6个队进了决赛发自虎扑Android客户端"
"[流言板]QSL全民明星锦标赛将于6月9日恢复比赛，4AM、iFTY和17等战队参赛","辰Chen1998","hoho平台赛又来了，安排，4猪崽必须被安排。发自虎扑Android客户端"
"[流言板]QSL全民明星锦标赛将于6月9日恢复比赛，4AM、iFTY和17等战队参赛","激励爸爸","引用3楼 @Altoria2 发表的:还有6个队进了决赛好像是7个，你少数了一个发自虎扑Android客户端"
"山海经之17","listeningZ","咸阳有盒，其状甚小，宿于城，故名城小盒；又因常栖于城楼之上，有“嗝”之叫声，又名楼嗝。眼口有剧毒，直视或为之所呼名即死。乃世人争抢之大杀器。发自虎扑Android客户端"
"初入虎扑 场伤过500 吃鸡率超50%的大佬能进来指点下嘛","八卦仙","不好意思，虎扑60%为云吃鸡玩家，20%为口嗨玩家，20%是水军，还是您指点我们吧"
"发现Msjoy的直播太搞笑的了！","ArtMu阿慕","Joy想听采访外国队员，弹幕催着快进…“你们怎么就这么急这么没有耐心呢，我们跟别人打不是要了解下别人的情况吗，你们跟女孩子约会难道脱了裤子就干，不用逛逛街看看电影什么的吗”“老是看那些av，快进快进没几分钟完事有什么意思”发自虎扑iPhone客户端"
"山海经之17","哈哈哈来来来来来来","你是要考研吗发自虎扑Android客户端"
"初入虎扑 场伤过500 吃鸡率超50%的大佬能进来指点下嘛","全虎扑第一","打广告现在都这么隐晦了吗……发自虎扑iPhone客户端"
"初入虎扑 场伤过500 吃鸡率超50%的大佬能进来指点下嘛","叫我救世主","你都这样了，我们还能说啥？发自虎扑iPhone客户端"
"发现Msjoy的直播太搞笑的了！","姜戈就是DJANG","joy老师还是很真实的，说话又好听，还能爆点粉丝接触不到的消息发自虎扑Android客户端"
"4am能拿冠军，哪个转折点发挥作用最大","默默无语莫","孤少怒喷阿鲁卡~发自虎扑Android客户端"
"这东西有点玄学  键盘越斜越准","起名字好难哦","把键盘放在屏幕后面，屏幕紧贴脸，更准～(￣▽￣～)~发自虎扑Android客户端"
"4am能拿冠军，哪个转折点发挥作用最大","4am小粉丝","我选1，没有周莉莉的1串4，就没有后来4am的放飞自我，浴血重生的4am发自虎扑iPhone客户端"
"4am能拿冠军，哪个转折点发挥作用最大","猪头的弹幕教练","这尼玛，下午刷个虎扑都是些什么牛鬼蛇神啊。隔壁楼一个以前粉4am现在粉17的还开贴来叫。这个楼里还有要人家感谢17 ifty帮他们吃鸡。真的是酸啊。发自虎扑Android客户端"
"4am能拿冠军，哪个转折点发挥作用最大","清河利拉德","引用18楼 @军刀1988 发表的:萎靡了3天的ifty，在最后一场突然爆发，从圈北清到了决赛圈，会师4AM，最终4AM吃鸡去德国，也算是间接抬了一手4AM。回想起当初韩国预选赛，韦神Y城右侧伏地阴掉最后两个阿玛尼的队员，致使IFTY领先阿玛尼20分出线，最终韩国夺冠。。也算是间接抬了一手IFTY。。A+也曾在直播间感谢韦神。。有来有回，这才是A~V之间的缘分。。对啊，感谢了，4am只杀了15个人，还剩61个人都是别的队打死的，没你们我们夺不了冠军，呜呜呜发自虎扑Android客户端"
"4am能拿冠军，哪个转折点发挥作用最大","骄傲的丨OKC","引用5楼 @默默无语莫 发表的:孤少怒喷阿鲁卡~圈瞎几把乱切，你让我指挥，我怎么指挥啊发自虎扑Android客户端"
"4am能拿冠军，哪个转折点发挥作用最大","ZzzVdoGMA3","引用5楼 @默默无语莫 发表的:孤少怒喷阿鲁卡~阿鲁：孤少一直要我转移，我怎么转移啊孤少：有机会转移为什么不转移，这个人思想出了问题"
"4am能拿冠军，哪个转折点发挥作用最大","keno777","全靠论坛黑粉喷子，这几只猪喜欢自虐，看采访：他们就爱看喷他们的帖子，越是喷贴他们动力越足。发自虎扑iPhone客户端"
"4am能拿冠军，哪个转折点发挥作用最大","遍地的青苔","那天晚上的复盘 + TPP第一场前推心置腹的聊"
"4am能拿冠军，哪个转折点发挥作用最大","ev517","引用1楼 @4am小粉丝 发表的:我选1，没有周莉莉的1串4，就没有后来4am的放飞自我，浴血重生的4am得了吧难不成以后还要多被穿几次？猪头直接说心态爆炸的发自虎扑Android客户端"
"4am能拿冠军，哪个转折点发挥作用最大","公牛的三号","虽然内心选3 但是鼠标一直指向4"
"这东西有点玄学  键盘越斜越准","kevindo1119","引用3楼 @盒子精AAA 发表的:这场景仿佛在哪看过，好像真有职业选手这么玩的csgo xantares了解一下发自虎扑iPhone客户端"
"微博上4am粉丝大佬画的决赛圈最后一幕，看的想哭，醒目也点名了","Keith0033","做7911的粉丝要求这么高了么？😢😢😢发自虎扑Android客户端"
"微博上4am粉丝大佬画的决赛圈最后一幕，看的想哭，醒目也点名了","重唱ensemble","┭┮﹏┭┮这个小姐姐每次都画的很棒！！"
"微博上4am粉丝大佬画的决赛圈最后一幕，看的想哭，醒目也点名了","空岩啸","没点东西都不好意思做4AM粉了～人均油菜花反正我自闭了发自虎扑iPhone客户端"
"微博上4am粉丝大佬画的决赛圈最后一幕，看的想哭，醒目也点名了","upup泰迪","这粉丝画的太好了，真的感动发自虎扑iPhone客户端"
"微博上4am粉丝大佬画的决赛圈最后一幕，看的想哭，醒目也点名了","居然有个猪头","日常不配当粉丝..."
"微博上4am粉丝大佬画的决赛圈最后一幕，看的想哭，醒目也点名了","c拐角遇到你c","7911 藏龙卧虎... 有时我在想,这些崽种怎么会那么有才.. 我读的是假大学吗?平时只会骗猪头...""没捡三级头,没捡三级包,你眼瞎..""每天与猪头互怼...  求你去换个烧火棍KTV猪头...  整天的当弹幕教练.....(我也是弹幕教练组的...在7911没被封过的弹幕教练,都没脸出去说自己是7911的.)但是真的一到虎扑,才发现,7911这些崽种的本事,不止在每天与猪头斗,内部各dang互撕.... 是真的有才啊...[ 此帖被c拐角遇到你c在2018-06-06 11:15修改 ]"
"0605【报告老板】KZ SSS 来访客啦","天外之星","run哥说：有没得女大学生发自虎扑Android客户端"
"0605【报告老板】KZ SSS 来访客啦","怀表停了","其实大家不用那么敏感，发帖无所谓的。有句话说的好，不怕你高调，就怕你高调不做事。。如果经理能把自己吹得比都落实，天天吹逼，给他吹呗。。也不是所有人都是那种不说只做的人。。反面来讲，如果他没做成岂不是更是个笑话？现在来讲，无非就是喜欢找存在的经理罢了，语气不好就给他纠正纠正，没必要不让人说话"
"0605【报告老板】KZ SSS 来访客啦","综皇王翔","引用7楼 @天外之星 发表的:run哥说：有没得女大学生他说，我就想要个内存条一个内存条内存条我就觉得我想多了发自虎扑iPhone客户端"
"0605【报告老板】KZ SSS 来访客啦","怀表停了","冒昧问一下，有没有人挖211啊233333"
"0605【报告老板】KZ SSS 来访客啦","黑色卤蛋211","经理欢迎多来虎扑发帖啊，我们sss粉丝愿意看。很多楼里抵制的人根本就不是sss粉丝那几个挑三拣四的杠精主队我就不提了，好几个id 都是经常抹黑嘲讽莉莉的，至于目的无非是不希望看到sss变好，希望经理明鉴，别上了这几个人的当"
"0605【报告老板】KZ SSS 来访客啦","人云亦云a","事情都往好的方向发展了 加油211加油3S"
"0605【报告老板】KZ SSS 来访客啦","xierodick","run哥是不是见面就认了个亲兄弟"
"0605【报告老板】KZ SSS 来访客啦","真的好热啊","女大学生安排一下发自虎扑iPhone客户端"
"0605【报告老板】KZ SSS 来访客啦","跳伞队队长","战队在进步，经理也挺坦诚，别理哪些搞事的，如果虎扑是它们一家的，让虎扑发个声明，不玩这里该可以吧发自虎扑Android客户端"
"0605【报告老板】KZ SSS 来访客啦","水木之云","下次不要说报告老板了，听的别扭，我相信虎扑的jr们也不会说什么的发自虎扑Android客户端"
"0605【报告老板】KZ SSS 来访客啦","综皇王翔","引用19楼 @q363757255 发表的:我们理解你们俱乐部管理层想树立个好形象，但不用来虎扑宣传这么仔细，搞好管理，让3s打好比赛就行最近放假，让他们好好休息一下"
"0605【报告老板】KZ SSS 来访客啦","综皇王翔","引用88楼 @请叫我翔翔翔哥 发表的:经理斗鸡是不是去kz了呀没有啊，队员放假，我上班新队员我肯定要先看团队意见的发自虎扑iPhone客户端"
"0605【报告老板】KZ SSS 来访客啦","ahhh1","liquid coo 这个有牌面。发自虎扑Android客户端"
"0605【报告老板】KZ SSS 来访客啦","kobewadeai","老板啊，楼上的电脑我刚搬下来了。发自虎扑iPhone客户端"
"0605【报告老板】KZ SSS 来访客啦","请叫我翔翔翔哥","经理斗鸡是不是去kz了呀发自虎扑Android客户端"
"0605【报告老板】KZ SSS 来访客啦","POMELOVE","老板，我的女大xou生什么时候给我安排得一下"
"个人愚见，浅谈分析一下4am，重点聊一聊孤存","脖子是我","不知道楼主看过孤存打ow吗，就是不停的开火，走位。确实很准，实力碾压对方。而lol更注重运营，以小优势逐步扩大领先。有大局观发自虎扑Android客户端"
"个人愚见，浅谈分析一下4am，重点聊一聊孤存","沐沐QwQ","首先有一点你就错了，OW很吃队友配合的"
"个人愚见，浅谈分析一下4am，重点聊一聊孤存","VirgilFun","他们的成功还离不开龙妈一把屎一把尿，还有蜜蜂的玄学直播。"
"吃鸡赛事排名整理表格6.6版本（11:13修正）","Mool1y沫离","能做至少比只会口头上说的人强。赞发自虎扑iPhone客户端"
"吃鸡赛事排名整理表格6.6版本（11:13修正）","大虾bigxia","引用5楼 @最美的地方遇见你 发表的:有人可以造福一下手机dang么排名前五十的队伍1	OMG2	173	Lstars4	VG5	4AM6	XQ7	KZ_SSS8	iFTY9	MK10	LGD11	V512	124613	VTA14	FTD15	RNG16	OST17	LYG18	MQ19	eStarFire20	SnakeTC21	iDs22	Tyloo23	AG24	KG25	JDG26	QG27	FIRE28	EDG29	NW30	WE31	AST32	LGE33	DLG34	QM35	HG36	NG37	JTeam38	WEIBO39	MDY40	BA41	SC42	Elephant43	KSG44	COG45	WAY46	CDEC47	QST48	iG49	GOL50	EOP"
"shourd是真的强","圣光回忆123","先把名字拼对再粉？发自虎扑iPhone客户端"
"shourd是真的强","Kyrie艾榮","我之前看他刚开始玩PUBG的视频 第一次拿起手枪看到敌人第一反应就是打头"
"shourd是真的强","秀乎独臣","211不以近战成名发自虎扑Android客户端"
"shourd是真的强","tblyzy","现在关于欧美选手和主播的帖子太多人明明不了解就人云亦云了。把shroud吹成完爆国内职业选手和贬成实力打不了职业的基本都属于不懂就跟风的。甚至还有连他打没打过吃鸡职业都没闹清楚就出来喷的。我只能说就我个人看twich直播和刷twitter的经验，欧美吃鸡这个圈子里的人，无论是主播还是打职业的，凡是评价过shroud的，都认可他的反应和枪法是顶级，但绝对也没有到从只要出来打职业就虐遍全场的世外大神的水平。我个人的感觉是，以他的实力在欧美几个主要强队占一个主力位置应该不成问题，但是真到比赛里以能发挥到什么程度很难说。他直播流量这么好，打职业要占用时间训练还要到处跑打比赛，肯定对他收入和生活状态有影响，选择不打职业也很正常。"
"为什么感觉每次更新后挂还更多了。。","克利夫兰23全能詹","我们打一下午会有一两把挂吧。你这遇上挂的频率也太高了吧。你要是服务器前列玩家我无话可说。发自虎扑Android客户端"
"[流言板]ESL官推：Liquid战队递补进入PGI欧洲赛区资格赛决赛（附前因后果）","家葛愛情","19进2我看好liquid"
"[流言板]ESL官推：Liquid战队递补进入PGI欧洲赛区资格赛决赛（附前因后果）","IssaczzZ","液体队内心的OS:终于我们李逵可以加入到研究OMG的行列里来了，谢谢组织给的机会和欧洲开哥发自虎扑iPhone客户端"
"[流言板]ESL官推：Liquid战队递补进入PGI欧洲赛区资格赛决赛（附前因后果）","第三章卅","引用11楼 @她迷人 发表的:谁能科普一下这个VAL战队怎么了被取消资格了……好像是一个队员两个账号作弊，被举报了。[ 此帖被第三章卅在2018-06-05 23:36修改 ]发自虎扑Android客户端"
"[流言板]ESL官推：Liquid战队递补进入PGI欧洲赛区资格赛决赛（附前因后果）","青苹之茉","小组赛80进20线上，前五里面有个队用了科技 可惜不如国内 被检测出来了 李逵好运正好第六 递补了一步 还是恭喜李逵 毕竟国外各大强队都认可的t1战队 单论个人实力 比faze只强不差的 不过欧洲OMG团队配合是真的太牛了"
"[流言板]ESL官推：Liquid战队递补进入PGI欧洲赛区资格赛决赛（附前因后果）","MMUSIC","说一句这就是线上赛会不会被喷。"
"[流言板]ESL官推：Liquid战队递补进入PGI欧洲赛区资格赛决赛（附前因后果）","二子我奶娘","引用1楼 @家葛愛情 发表的:19进2我看好liquid又暗示欧洲omg发自虎扑Android客户端"
"[流言板]ESL官推：Liquid战队递补进入PGI欧洲赛区资格赛决赛（附前因后果）","CostaAzul","Rouge和Liquid老天都在帮你们了要加油啊(ง •̀_•́)ง发自虎扑Android客户端"
"[流言板]ESL官推：Liquid战队递补进入PGI欧洲赛区资格赛决赛（附前因后果）","bigpenis","引用1楼 @家葛愛情 发表的:19进2我看好liquid舒服了，前几天一直在纠结PGI的赛制为什么这么挫，给亚洲这么多名额也不说留2张外卡，没有liquid参加的PGI还是很可惜的，结果今天这新闻，让人舒服。"
"[流言板]ESL官推：Liquid战队递补进入PGI欧洲赛区资格赛决赛（附前因后果）","雨中逢","liquid都是钢枪猛男，sli赛上杀的人是真滴多，20场比赛杀了146个人，希望欧洲预选赛他们能出线，到时候柏林决赛应该会更精彩。发自虎扑Android客户端"
"官博再次暗示，国服还没凉？","挠头侠","国服六月能出我给韦酱舔jio发自虎扑Android客户端"
"官博再次暗示，国服还没凉？","云巅啊","无限法则东南亚市场绝地求生国内日本韩国市场堡垒之夜欧美市场TX爸爸眼光真的高"
"孤少同款？大家鉴定下！","Dw_24","好像有点像，但又不一定，很难说。发自虎扑iPhone客户端"
"孤少同款？大家鉴定下！","十六有小虎牙","你的不是三年限定发自虎扑Android客户端"
"孤少同款？大家鉴定下！","liekkasaaa","引用2楼 @Dw_24 发表的:好像有点像，但又不一定，很难说。可以说，但没必要。发自虎扑Android客户端"
